t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
143.998,measure,7183,7183,0,14,7176,4243087,1.575,766680,1490220,1,0,50.00,7183,0
145.004,measure,7233,7234,0,0,7226,4272425,1.575,759108,1490280,1,0,50.00,7234,0
145.995,measure,7283,7283,0,12,7276,4301770,1.575,751592,1490280,1,0,50.00,7283,0
146.998,measure,7333,7333,0,15,7326,4331105,1.575,744108,1490280,1,0,50.00,7333,0
147.995,measure,7383,7383,0,12,7376,4360027,1.575,740260,1490280,1,0,50.05,7383,0
148.996,measure,7433,7433,0,13,7426,4389402,1.575,733136,1490280,1,0,50.00,7433,0
149.995,measure,7483,7483,0,12,7476,4418576,1.575,726980,1490280,1,0,49.95,7483,0
151.003,measure,7533,7534,0,0,7526,4447705,1.575,726992,1490280,1,0,50.05,7534,0
151.998,measure,7583,7583,0,14,7576,4476974,1.575,726956,1490280,1,0,50.05,7583,0
153.004,measure,7633,7634,0,0,7626,4506510,1.575,722592,1490280,1,0,50.00,7634,0
153.996,measure,7683,7683,0,13,7676,4535761,1.575,715752,1490280,1,0,50.00,7683,0
155.004,measure,7733,7734,0,0,7726,4564748,1.575,708692,1490280,1,0,50.00,7734,0
155.996,measure,7783,7783,0,13,7776,4593814,1.575,701728,1490280,1,0,50.00,7783,0
157.004,measure,7833,7834,0,0,7826,4623247,1.575,696372,1490280,1,0,49.95,7834,0
158.004,measure,7883,7884,0,0,7876,4652597,1.575,691016,1490284,1,0,50.10,7884,0
158.994,measure,7933,7933,0,11,7926,4681585,1.575,684372,1490284,1,0,50.00,7933,0
160.004,measure,7983,7984,0,1,7976,4710964,1.575,679892,1490284,1,0,50.00,7984,0
160.999,measure,8033,8033,0,16,8026,4740560,1.575,674604,1490284,1,0,49.95,8033,0
161.995,measure,8083,8083,0,12,8076,4770174,1.575,671152,1490284,1,0,50.05,8083,0
162.996,measure,8133,8133,0,13,8126,4799978,1.575,666328,1490284,1,0,50.00,8133,0
164.003,measure,8183,8184,0,1,8176,4829449,1.575,660948,1490284,1,0,49.95,8184,0
164.995,measure,8233,8233,0,11,8226,4858742,1.575,655536,1490284,1,0,50.05,8233,0
166.004,measure,8283,8284,0,0,8276,4888090,1.575,650388,1490284,1,0,49.95,8284,0
167.004,measure,8333,8334,0,1,8326,4917762,1.575,645032,1490284,1,0,50.00,8334,0
168.004,measure,8383,8384,0,0,8376,4947386,1.575,640532,1490284,1,0,50.00,8384,0
169.002,measure,8433,8434,0,1,8426,4976274,1.575,634764,1490284,1,0,50.00,8434,0
169.996,measure,8483,8483,0,13,8476,5005204,1.575,628584,1490284,1,0,50.05,8483,0
171.003,measure,8533,8534,0,0,8526,5034492,1.575,623152,1490284,1,0,50.00,8534,0
171.996,measure,8583,8583,0,13,8576,5063887,1.575,617844,1490284,1,0,49.95,8583,0
173.004,measure,8633,8634,0,0,8626,5093612,1.575,613100,1490284,1,0,50.05,8634,0
174.004,measure,8683,8684,0,1,8676,5123671,1.575,608032,1490284,1,0,49.95,8684,0
174.995,measure,8733,8733,0,11,8726,5152993,1.575,603512,1490284,1,0,50.00,8733,0
175.995,measure,8783,8783,0,11,8776,5182182,1.575,598620,1490284,1,0,49.95,8783,0
176.995,measure,8833,8833,0,11,8826,5212003,1.575,593900,1490284,1,0,50.05,8833,0
177.996,measure,8883,8883,0,12,8876,5241722,1.575,591388,1490284,1,0,50.00,8883,0
178.997,measure,8933,8933,0,13,8926,5271286,1.575,591356,1490284,1,0,50.00,8933,0
180.005,measure,8983,8984,0,0,8976,5300778,1.575,591364,1490284,1,0,50.00,8984,0
181.005,measure,9033,9034,0,0,9026,5330254,1.575,591376,1490284,1,0,49.95,9034,0
182.005,measure,9083,9084,0,0,9076,5359710,1.575,591384,1490284,1,0,50.05,9084,0
183.003,measure,9133,9134,0,1,9126,5389097,1.575,586316,1490284,1,0,50.00,9134,0
183.996,measure,9183,9183,0,11,9176,5418858,1.575,582352,1490284,1,0,50.05,9183,0
185.004,measure,9233,9234,0,0,9226,5448425,1.575,581608,1490284,1,0,49.95,9234,0
186.004,measure,9283,9284,0,0,9276,5477901,1.575,576744,1490284,1,0,50.00,9284,0
187.004,measure,9333,9334,0,0,9326,5507159,1.575,571036,1490284,1,0,50.00,9334,0
