t_s,phase,frame_number,interval_ms
11.073,warmup,547,21.495
11.090,warmup,548,17.026
11.108,warmup,549,18.773
11.131,warmup,550,22.890
11.150,warmup,551,19.126
11.169,warmup,552,19.025
11.190,warmup,553,20.938
11.208,warmup,554,18.089
11.229,warmup,555,20.325
11.250,warmup,556,21.166
11.270,warmup,557,20.079
11.290,warmup,558,20.186
11.309,warmup,559,18.665
11.330,warmup,560,20.950
11.354,warmup,561,24.381
11.370,warmup,562,15.810
11.390,warmup,563,19.766
11.412,warmup,564,21.706
11.430,warmup,565,18.313
11.451,warmup,566,20.918
11.472,warmup,567,21.045
11.490,warmup,568,18.441
11.511,warmup,569,20.999
11.532,warmup,570,20.336
11.551,warmup,571,19.359
11.570,warmup,572,19.296
11.589,warmup,573,18.482
11.609,warmup,574,20.784
11.632,warmup,575,22.762
11.649,warmup,576,16.916
11.670,warmup,577,21.234
11.691,warmup,578,20.350
11.709,warmup,579,18.652
11.731,warmup,580,21.170
11.751,warmup,581,19.970
11.769,warmup,582,18.861
11.791,warmup,583,21.188
11.812,warmup,584,20.928
11.831,warmup,585,19.053
11.849,warmup,586,18.916
11.868,warmup,587,18.971
11.889,warmup,588,20.144
11.913,warmup,589,24.248
11.929,warmup,590,15.733
11.950,warmup,591,21.237
11.971,warmup,592,20.719
11.990,warmup,593,19.019
12.009,warmup,594,19.919
12.030,warmup,595,20.904
12.049,warmup,596,18.922
12.069,warmup,597,20.038
12.090,warmup,598,21.127
12.108,warmup,599,17.904
12.129,warmup,600,21.006
12.149,warmup,601,19.827
12.170,warmup,602,20.385
12.192,warmup,603,22.841
12.209,warmup,604,16.897
12.229,warmup,605,19.592
12.250,warmup,606,21.332
12.270,warmup,607,19.869
12.290,warmup,608,20.077
12.311,warmup,609,20.329
12.329,warmup,610,18.814
12.350,warmup,611,20.975
12.370,warmup,612,20.099
12.389,warmup,613,18.170
12.410,warmup,614,21.540
12.429,warmup,615,19.243
12.449,warmup,616,19.822
12.472,warmup,617,22.814
12.490,warmup,618,17.822
12.510,warmup,619,20.430
12.531,warmup,620,20.909
12.550,warmup,621,18.962
12.570,warmup,622,19.511
12.590,warmup,623,20.257
12.609,warmup,624,18.608
12.628,warmup,625,19.519
12.650,warmup,626,21.673
12.669,warmup,627,19.655
12.689,warmup,628,19.187
12.709,warmup,629,20.827
12.728,warmup,630,18.933
12.752,warmup,631,24.073
12.769,warmup,632,16.937
12.788,warmup,633,19.077
12.810,warmup,634,21.907
12.829,warmup,635,19.136
12.850,warmup,636,20.968
12.871,warmup,637,20.490
12.889,warmup,638,18.473
12.909,warmup,639,19.961
12.929,warmup,640,20.016
12.950,warmup,641,20.990
12.969,warmup,642,18.974
12.988,warmup,643,19.042
13.008,warmup,644,20.018
13.032,warmup,645,23.759
13.048,warmup,646,15.695
13.070,warmup,647,22.282
